exercise_id,exercise_name,description,instructions
87,Band Pull-Apart,"Band Pull-Apart performed with a resistance band. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Anchor the band securely and keep constant tension. Begin the band pull-apart with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
88,One-Arm Cable Row,"One-Arm Cable Row performed with a cable machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the one-arm cable row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
89,Chest-Supported Row (Dumbbell),"Chest-Supported Row (Dumbbell) performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the chest-supported row (dumbbell) with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
90,Back Squat,"Back Squat performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the back squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
91,Front Squat,"Front Squat performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the front squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
92,Goblet Squat,"Goblet Squat performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the goblet squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
93,Zercher Squat,"Zercher Squat performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the zercher squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
94,Hack Squat,"Hack Squat performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the hack squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
95,Smith Machine Squat,"Smith Machine Squat performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the smith machine squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
96,Bulgarian Split Squat,"Bulgarian Split Squat performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the bulgarian split squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
97,Leg Press,"Leg Press performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the leg press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
98,Trap Bar Deadlift,"Trap Bar Deadlift performed with a trap bar. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set up in a balanced, athletic stance and brace your core. Begin the trap bar deadlift with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
99,Good Morning,"Good Morning performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the good morning with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
100,Hip Thrust,"Hip Thrust performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the hip thrust with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
101,Glute Bridge,Glute Bridge performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the glute bridge with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
102,Kettlebell Swing,"Kettlebell Swing performed with a kettlebell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Keep shoulders packed and hinge from hips when applicable. Begin the kettlebell swing with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
103,Farmer's Carry,"Farmer's Carry performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the farmer's carry with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
104,Kettlebell Farmer's Carry,"Kettlebell Farmer's Carry performed with a kettlebell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Keep shoulders packed and hinge from hips when applicable. Begin the kettlebell farmer's carry with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
105,Landmine Rotation,"Landmine Rotation performed with landmine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set up in a balanced, athletic stance and brace your core. Begin the landmine rotation with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
106,Russian Twist,"Russian Twist performed with a medicine ball. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set up in a balanced, athletic stance and brace your core. Begin the russian twist with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
107,Med Ball Rotational Throw,"Med Ball Rotational Throw performed with a medicine ball. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set up in a balanced, athletic stance and brace your core. Begin the med ball rotational throw with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
108,Rotational Kettlebell Swing,"Rotational Kettlebell Swing performed with a kettlebell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Keep shoulders packed and hinge from hips when applicable. Begin the rotational kettlebell swing with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
109,Standing Barbell Twist,"Standing Barbell Twist performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the standing barbell twist with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
110,Thread-the-Needle Side Plank,Thread-the-Needle Side Plank performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the thread-the-needle side plank with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
111,Pallof Press (Band),"Pallof Press (Band) performed with a resistance band. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Anchor the band securely and keep constant tension. Begin the pallof press (band) with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
112,Tall-Kneeling Pallof Press,"Tall-Kneeling Pallof Press performed with a cable machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the tall-kneeling pallof press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
113,Dead Bug w/ Anti-Rotation Band,"Dead Bug w/ Anti-Rotation Band performed with a resistance band. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Anchor the band securely and keep constant tension. Begin the dead bug w/ anti-rotation band with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
114,Renegade Row,"Renegade Row performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the renegade row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
115,Plank,Plank performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the plank with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
116,Side Plank,Side Plank performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the side plank with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
117,Bird Dog,Bird Dog performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the bird dog with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
118,Suitcase Carry,"Suitcase Carry performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the suitcase carry with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
119,Dumbbell Curl,"Dumbbell Curl is performed with dumbbells and primarily targets the biceps; keep elbows still to reduce shoulder involvement. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
120,Hammer Curl,"Hammer Curl is performed with appropriate equipment and primarily targets the biceps; keep elbows still to reduce shoulder involvement. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
121,Cable Curl,"Cable Curl is performed with a cable machine and primarily targets the biceps; keep elbows still to reduce shoulder involvement. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
122,Resistance Band Curl,"Resistance Band Row performed with a resistance band. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Anchor the band securely and keep constant tension. Begin the resistance band row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
123,Bicep Chin-Up,"Bicep Chin-Up is performed with your bodyweight and primarily targets the lats and upper back with biceps assistance. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
124,Barbell Curl,"Barbell Curl is performed with a barbell and primarily targets the biceps; keep elbows still to reduce shoulder involvement. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
125,Kettlebell Curl,"Kettlebell Curl is performed with a kettlebell and primarily targets the biceps; keep elbows still to reduce shoulder involvement. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
126,Ez-bar curl,"Ez-bar curl is performed with appropriate equipment and primarily targets the biceps; keep elbows still to reduce shoulder involvement. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
127,Dumbell Preacher Curl,"Dumbell Preacher Curl is performed with appropriate equipment and primarily targets the biceps; keep elbows still to reduce shoulder involvement. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
128,Dumbbell Hammer Curl,"Dumbbell Hammer Curl is performed with dumbbells and primarily targets the biceps; keep elbows still to reduce shoulder involvement. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
129,Bench Preacher Curl,"Bench Preacher Curl is performed with appropriate equipment and primarily targets the biceps; keep elbows still to reduce shoulder involvement. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
130,Straight Bar Tricep Pushdown,"Straight Bar Tricep Pushdown is performed with appropriate equipment and primarily targets the triceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
131,Straight Bar Tricep Extension,"Straight Bar Tricep Extension is performed with appropriate equipment and primarily targets the triceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
132,D-Handle Tricep Pushdown,"D-Handle Tricep Pushdown is performed with appropriate equipment and primarily targets the triceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
133,Resistance Band Tricep Extension,"Resistance Band Tricep Extension is performed with a resistance band and primarily targets the triceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
134,Rope Tricep Pushdown,"Rope Tricep Pushdown is performed with appropriate equipment and primarily targets the triceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
135,Skull Crusher,"Skull Crusher is performed with appropriate equipment and primarily targets the target musculature. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
136,Dumbbell Overhead Extension,"Dumbbell Overhead Extension is performed with dumbbells and primarily targets the triceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
137,Barbell Overhead Tricep Extension,"Barbell Overhead Tricep Extension is performed with a barbell and primarily targets the triceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
138,Ez-bar Overhead Tricep Extension,"Ez-bar Overhead Tricep Extension is performed with appropriate equipment and primarily targets the triceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
139,Katana Overhead Extension,"Katana Overhead Extension is performed with appropriate equipment and primarily targets the triceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
140,Resistance Band Tricep Extension,"Resistance Band Tricep Extension is performed with a resistance band and primarily targets the triceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
141,Kettlebell Overhead Extension,"Kettlebell Overhead Extension is performed with a kettlebell and primarily targets the triceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
142,Dumbbell Lateral Raises,"Dumbbell Lateral Raises is performed with dumbbells and primarily targets the lateral delts. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
143,Kettlebell Lateral Raises,"Kettlebell Lateral Raises is performed with a kettlebell and primarily targets the lateral delts. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
144,Resistance Band Lateral Raises,"Resistance Band Lateral Raises is performed with a resistance band and primarily targets the lateral delts. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
145,Cable Lateral Raises,"Cable Lateral Raises is performed with a cable machine and primarily targets the lateral delts. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
146,Ez-bar Upright Row,"Ez-bar Upright Row is performed with appropriate equipment and primarily targets the upper back, lats, and rear delts with help from the biceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
147,Barbell Upright Row,"Barbell Upright Row is performed with a barbell and primarily targets the upper back, lats, and rear delts with help from the biceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
