exercise_id,exercise_name,equipment,variation,utility,mechanics,force,target_muscles,main_muscle,difficulty_(1-5),type,Description
229,Trap Bar Shrug,barbell,No,Basic,Isolated,Pull,"Upper Trapezius, Levator Scapulae, Middle Trapezius",Back,2,Isolation,Shrug variation using a trap bar for neutral grip and reduced shoulder strain. Targets upper traps. Allows for heavy weight use.
231,Seated Row (No Chest Pad): Straight Back,"cable, lever",Yes,Basic,Compound,Pull,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius",Back,3,Compound,"Seated row without chest support, requiring more core engagement. Targets lats, traps, and rhomboids. Improves posture."
233,One Arm Bent-Over Row,"dumbbell, barbell",No,Auxiliary,Compound,Pull,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius",Back,3,Compound,Single-arm row performed with free weights. Builds unilateral strength in the lats and traps. Enhances muscular symmetry.
235,Inverted Row,"body weight, suspension",No,Basic,Compound,Pull,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius",Back,3,Compound,"Bodyweight row performed under a bar, keeping the body straight. Works back, biceps, and core. Great for scalable pulling strength."
237,Standing Calf Raise: Single Leg,"body weight, dumbbell",Yes,Auxiliary,Isolated,Push,Gastrocnemius,Calves,3,Isolation,One-leg calf raise performed standing to isolate each calf. Improves balance and ankle stability.
239,Incline Shoulder Raise,dumbbell,No,Auxiliary,Isolated,Push,Serratus Anterior,Chest,2,Isolation,Shoulder isolation exercise performed on an incline bench. Emphasizes front delts. Enhances shoulder definition.
241,Reverse Calf Raise: Single Leg,lever,Yes,Auxiliary,Isolated,Pull,Tibialis Anterior,Calves,3,Isolation,One-leg variation of reverse calf raise. Strengthens tibialis anterior and improves ankle control.
243,Push-Up: Incline,body weight,Yes,Auxiliary,Compound,Push,Pectoralis Major Sternal,Chest,2,Compound,"Push-up variation with hands elevated to reduce difficulty. Targets chest, shoulders, and triceps. Good for beginners and warm-ups."
245,Dips,"body weight, body weight (weighted), assisted machine",No,Basic,Compound,Push,Various,Full Body,2,Compound,"Bodyweight push targeting chest, triceps, and shoulders. Performed on parallel bars or rings. Builds upper body pushing strength."
247,Flies: Standing Fly,"dumbbell, cable",Yes,Auxiliary,Isolated,Push,Pectoralis Major Sternal,Chest,2,Isolation,Chest fly variation performed standing with cables or bands. Keeps constant tension on the pecs. Improves muscle definition.
249,Push-Up: Archer,body weight,Yes,Basic,Compound,Push,Pectoralis Major Sternal,Chest,3,Compound,Asymmetric push-up variation where one arm remains extended. Increases chest and shoulder loading on one side. Builds unilateral strength.
251,Flies: Pec Deck Fly,lever,Yes,Auxiliary,Isolated,Push,Pectoralis Major Sternal,Chest,2,Isolation,Machine-based chest fly for isolation and constant resistance. Ideal for controlled pec activation.
253,45  Reverse Calf Raise (On Hack Press),lever,No,Auxiliary,Isolated,Pull,Tibialis Anterior,Calves,3,Isolation,Targets tibialis anterior on a hack press machine at a 45  angle. Improves lower-leg balance.
255,Shadow Boxing,plyometric,No,Auxiliary,Compound,Push,Various,Full Body,2,Cardio,"Cardio drill mimicking boxing punches in the air. Builds endurance, coordination, and upper body speed."
257,Seated Row (No Chest Pad),"cable, lever",No,Basic,Compound,Pull,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius",Back,3,Compound,"Seated row variation without chest support, requiring core stability. Strengthens lats and traps."
259,Flies,"dumbbell, cable, lever",No,Auxiliary,Isolated,Push,Pectoralis Major Sternal,Chest,2,Isolation,"General fly movement for chest isolation. Can be done with dumbbells, cables, or machines. Builds pectoral strength and shape."
261,Seated Calf Press,lever,No,Basic,Isolated,Push,Gastrocnemius,Calves,2,Isolation,Machine-based seated calf raise targeting the soleus. Improves ankle strength and lower-leg endurance.
263,Seated Rows (Others),"cable, lever",No,Auxiliary,Compound,Pull,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius",Back,2,Compound,Variations of seated rows for targeting different back muscles. Uses various grips and angles.
265,Incline Chest Press,"barbell, dumbbell, lever",No,Basic,Compound,Push,Pectoralis Major Clavicular,Chest,3,Compound,Pressing movement on an incline bench. Focuses on upper chest and shoulders. Builds strength and definition.
267,Standing Calf Raise: One Arm Single Leg Calf Raise,"body weight, dumbbell",Yes,Auxiliary,Isolated,Push,Gastrocnemius,Calves,3,Isolation,Single-leg calf raise holding weight in one hand. Improves balance and calf strength.
269,Stationary Bike,Stationary bike,No,Basic,Compound,Cardio,"Quadriceps, Hamstrings, Glutes, Calves",Quadriceps,2,Cardio,Low-impact cardio exercise using a stationary cycle. Improves leg endurance and cardiovascular fitness.
271,Standing (Hill Climb),Stationary bike,Yes,Basic,Compound,Cardio,"Quadriceps, Hamstrings, Glutes, Calves",Quadriceps,3,Cardio,Stationary bike or treadmill mode simulating uphill cycling. Builds leg strength and endurance.
273,Treadmill Run: Flat run,Treadmill,No,Basic,Compound,Cardio,"Quadriceps, Hamstrings, Glutes, Calves",Quadriceps,2,Cardio,Running on a treadmill with zero incline. Improves cardiovascular health and speed.
275,Treadmill Run: Incline run,Treadmill,Yes,Basic,Compound,Cardio,"Quadriceps, Hamstrings, Glutes, Calves",Quadriceps,3,Cardio,Running on a treadmill with incline to simulate uphill terrain. Increases leg and lung endurance.
277,Treadmill Walk: Incline walk,Treadmill,Yes,Basic,Compound,Cardio,"Quadriceps, Hamstrings, Glutes, Calves",Quadriceps,1,Cardio,Walking on a treadmill with incline for low-impact cardio. Burns more calories than flat walking.
279,Stair Climb,StairMaster,No,Basic,Compound,Cardio,"Quadriceps, Hamstrings, Glutes, Calves",Quadriceps,3,Cardio,Cardio exercise using stairs or machine. Builds lower body strength and endurance.
281,Stair Climb: Double step climb,StairMaster,Yes,Basic,Compound,Cardio,"Quadriceps, Hamstrings, Glutes, Calves",Quadriceps,4,Cardio,Stair climbing variation taking two steps at a time. Increases glute and hamstring activation. Improves leg power.
